Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
20MICRONS,20 Microns Limited,11.71,20.65,11.97,6.57,0.0
21STCENMGM,21st Century Management Services Limited,-13.86,18.59,7.94,5.56,0.0
360ONE,360 ONE WAM LIMITED,45.54,-45.12,1.13,-0.08,5.9
3BBLACKBIO,3B Blackbio Dx Limited,-2.72,20.62,17.41,10.29,0.0
3IINFOLTD,3i Infotech Limited,59.09,17.58,8.2,3.67,5.5
3MINDIA,3M India Limited,-17.77,17.21,-2.56,-2.02,0.0
3PLAND,3P Land Holdings Limited,-5.89,15.51,5.92,4.61,0.0
5PAISA,5Paisa Capital Limited,18.88,0.66,20.31,12.78,0.0
63MOONS,63 moons technologies limited,-0.8,23.84,20.69,16.34,0.0
A2ZINFRA,A2Z Infra Engineering Limited,22.56,15.54,15.12,12.11,0.0
AAATECH,AAA Technologies Limited,-4.05,10.1,9.73,7.0,0.0
AADHARHFC,Aadhar Housing Finance Limited,-26.17,18.72,10.58,8.36,0.0
AAKASH,Aakash Exploration Services Limited,-4.53,7.39,10.38,7.37,0.0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,16.23,19.81,9.28,6.96,2.8
AARNAV,Aarnav Fashions Limited,-14.6,33.98,4.96,3.0,0.0
AARON,Aaron Industries Limited,-6.47,7.15,18.03,14.48,0.4
AARTECH,Aartech Solonics Limited,4.88,6.27,18.51,9.33,0.0
AARTIDRUGS,Aarti Drugs Limited,-1.54,5.85,3.73,2.88,0.0
AARTIIND,Aarti Industries Limited,20.7,8.65,-9.26,-6.91,0.0
AARTIPHARM,Aarti Pharmalabs Limited,10.76,7.71,2.04,0.86,0.0
AARTISURF,Aarti Surfactants Limited,11.32,6.13,15.31,9.91,0.0
AARVI,Aarvi Encon Limited,-8.67,19.28,8.18,4.09,0.0
AASTHA,Aastha Spintex Limited,-11.66,-2.65,6.61,2.57,0.0
AAVAS,Aavas Financiers Limited,37.19,-16.57,-6.52,-4.85,0.0
ABAN,Aban Offshore Limited,18.61,19.6,9.73,5.64,0.0
ABANSENT,Abans Enterprises Limited,-33.14,8.93,18.27,9.32,0.0
ABB,ABB India Limited,-21.1,23.19,-0.57,-1.3,4.6
ABBOTINDIA,Abbott India Limited,-28.01,20.4,7.05,1.9,0.0
ABCAPITAL,Aditya Birla Capital Limited,-0.33,-0.82,3.92,2.75,0.0
ABCOTS,A B Cotspin India Limited,-9.86,9.4,14.63,10.97,0.0
ABDL,Allied Blenders and Distillers Limited,-31.92,5.92,11.03,5.16,0.0
ABFRL,Aditya Birla Fashion and Retail Limited,8.85,-4.77,-3.38,-1.57,7.2
ABINFRA,A B Infrabuild Limited,23.03,17.27,16.63,12.97,0.0
ABLBL,Aditya Birla Lifestyle Brands Limited,-18.39,-9.41,11.94,10.52,-10.0
ABMINTLLTD,ABM International Limited,-26.4,9.04,21.7,16.06,0.0
ABMKNO,ABM Knowledgeware Limited,-4.24,5.13,12.91,8.65,0.0
ABREL,Aditya Birla Real Estate Limited,18.57,3.04,-8.7,-6.8,0.0
ABSLAMC,Aditya Birla Sun Life AMC Limited,-27.32,16.94,3.98,0.56,0.0
ACC,ACC Limited,3.81,0.26,-7.53,-4.22,0.0
ACCELYA,Accelya Solutions India Limited,-5.99,15.99,5.29,3.51,0.0
ACCURACY,Accuracy Shipping Limited,16.57,-12.19,2.05,2.99,12.7
ACE,Action Construction Equipment Limited,-21.24,9.6,11.85,8.71,0.0
ACEINTEG,Ace Integrated Solutions Limited,-3.89,-4.06,7.16,9.08,5.3
ACI,Archean Chemical Industries Limited,10.03,-9.14,-3.83,-3.13,0.0
ACL,Andhra Cements Limited,-2.98,4.05,8.76,5.17,0.0
ACMESOLAR,Acme Solar Holdings Limited,-0.12,-1.14,-0.04,-0.03,0.0
ACSTECH,ACS Technologies Limited,-1.72,1.34,2.68,1.89,14.3
ACUTAAS,Acutaas Chemicals Limited,10.07,7.53,-6.91,-6.87,0.0
ADANIENSOL,Adani Energy Solutions Limited,-18.94,13.31,-0.67,0.62,0.0
ADANIENT,Adani Enterprises Limited,-9.78,-6.82,5.02,4.58,0.0
ADANIGREEN,Adani Green Energy Limited,9.63,4.05,-5.9,-5.94,0.0
ADANIPORTS,Adani Ports and Special Economic Zone Limited,-8.47,-5.36,10.52,8.16,0.0
ADANIPOWER,Adani Power Limited,3.2,-0.63,-0.33,1.19,-2.3
ADFFOODS,ADF Foods Limited,24.65,-0.46,-3.84,-3.47,0.0
ADL,Archidply Decor Limited,-5.97,-0.56,8.09,5.54,0.0
ADOR,Ador Welding Limited,-2.85,-0.17,-0.45,0.06,0.0
ADROITINFO,Adroit Infotech Limited,20.6,13.38,12.71,6.61,0.0
ADSL,Allied Digital Services Limited,-4.29,-0.27,-2.26,-3.76,0.0
ADVAIT,Advait Energy Transitions Limited,-7.73,-4.96,1.34,3.06,0.0
ADVANCE,Advance Agrolife Limited,-2.91,12.72,-8.11,-4.5,0.0
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,14.13,13.77,13.3,7.85,0.0
