Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
ALLTIME,All Time Plastics Limited,0.0,0.0,0.0,0.0,0.0
ALMONDZ,Almondz Global Securities Limited,0.0,0.0,0.0,0.0,0.0
ALOKINDS,Alok Industries Limited,0.0,0.0,0.0,0.0,0.0
ALPA,Alpa Laboratories Limited,0.0,0.0,0.0,0.0,0.0
ALPHAGEO,Alphageo (India) Limited,0.0,0.0,0.0,0.0,0.0
AMAGI,Amagi Media Labs Limited,0.0,0.0,0.0,0.0,0.0
AMANTA,Amanta Healthcare Limited,0.0,0.0,0.0,0.0,0.0
AMBALALSA,Ambalal Sarabhai Enterprises Limited,0.0,0.0,0.0,0.0,0.0
AMBER,Amber Enterprises India Limited,0.0,0.0,0.0,0.0,0.0
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,0.0,0.0,0.0,0.0,0.0
AMBIKCO,Ambika Cotton Mills Limited,0.0,0.0,0.0,0.0,0.0
AMBUJACEM,Ambuja Cements Limited,0.0,0.0,0.0,0.0,0.0
AMDIND,AMD Industries Limited,0.0,0.0,0.0,0.0,0.0
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,0.0,0.0,0.0,0.0,0.0
AMJLAND,Amj Land Holdings Limited,0.0,0.0,0.0,0.0,0.0
AMNPLST,Amines & Plasticizers Limited,0.0,0.0,0.0,0.0,0.0
AMRUTANJAN,Amrutanjan Health Care Limited,0.0,0.0,0.0,0.0,0.0
ANANDRATHI,Anand Rathi Wealth Limited,0.0,0.0,0.0,0.0,0.0
ANANTRAJ,Anant Raj Limited,0.0,0.0,0.0,0.0,0.0
ANDHRAPAP,ANDHRA PAPER LIMITED,0.0,0.0,0.0,0.0,0.0
ANDHRSUGAR,The Andhra Sugars Limited,0.0,0.0,0.0,0.0,0.0
ANGELONE,Angel One Limited,0.0,0.0,0.0,0.0,0.0
ANIKINDS,Anik Industries Limited,0.0,0.0,0.0,0.0,0.0
ANKITMETAL,Ankit Metal & Power Limited,0.0,0.0,0.0,0.0,0.0
ANMOL,Anmol India Limited,0.0,0.0,0.0,0.0,0.0
ANSALAPI,Ansal Properties & Infrastructure Limited,0.0,0.0,0.0,0.0,0.0
ANTELOPUS,Antelopus Selan Energy Limited,0.0,0.0,0.0,0.0,0.0
ANTGRAPHIC,Antarctica Limited,0.0,0.0,0.0,0.0,0.0
ANTHEM,Anthem Biosciences Limited,0.0,0.0,0.0,0.0,0.0
ANUHPHR,Anuh Pharma Limited,0.0,0.0,0.0,0.0,0.0
ANUP,The Anup Engineering Limited,0.0,0.0,0.0,0.0,0.0
ANURAS,Anupam Rasayan India Limited,0.0,0.0,0.0,0.0,0.0
APARINDS,Apar Industries Limited,0.0,0.0,0.0,0.0,0.0
APCL,Anjani Portland Cement Limited,0.0,0.0,0.0,0.0,0.0
APCOTEXIND,Apcotex Industries Limited,0.0,0.0,0.0,0.0,0.0
APEX,Apex Frozen Foods Limited,0.0,0.0,0.0,0.0,0.0
APLAPOLLO,APL Apollo Tubes Limited,0.0,0.0,0.0,0.0,0.0
APLLTD,Alembic Pharmaceuticals Limited,0.0,0.0,0.0,0.0,0.0
APOLLO,Apollo Micro Systems Limited,0.0,0.0,0.0,0.0,0.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,0.0,0.0,0.0,0.0,0.0
APOLLOPIPE,Apollo Pipes Limited,0.0,0.0,0.0,0.0,0.0
APOLLOTYRE,Apollo Tyres Limited,0.0,0.0,0.0,0.0,0.0
APOLSINHOT,Apollo Sindoori Hotels Limited,0.0,0.0,0.0,0.0,0.0
APTECHT,Aptech Limited,0.0,0.0,0.0,0.0,0.0
APTUS,Aptus Value Housing Finance India Limited,0.0,0.0,0.0,0.0,0.0
AQYLON,Aqylon Nexus Limited,0.0,0.0,0.0,0.0,0.0
ARCHIDPLY,Archidply Industries Limited,0.0,0.0,0.0,0.0,0.0
ARCHIES,Archies Limited,0.0,0.0,0.0,0.0,0.0
ARE&M,Amara Raja Energy & Mobility Limited,0.0,0.0,0.0,0.0,0.0
ARENTERP,Rajdarshan Industries Limited,0.0,0.0,0.0,0.0,0.0
ARFIN,Arfin India Limited,0.0,0.0,0.0,0.0,0.0
ARIES,Aries Agro Limited,0.0,0.0,0.0,0.0,0.0
ARIHANT,Arihant Foundations & Housing Limited,0.0,0.0,0.0,0.0,0.0
ARIHANTCAP,Arihant Capital Markets Limited,0.0,0.0,0.0,0.0,0.0
ARIHANTSUP,Arihant Superstructures Limited,0.0,0.0,0.0,0.0,0.0
ARIS,Arisinfra Solutions Limited,0.0,0.0,0.0,0.0,0.0
ARKADE,Arkade Developers Limited,0.0,0.0,0.0,0.0,0.0
ARMANFIN,Arman Financial Services Limited,0.0,0.0,0.0,0.0,0.0
AROGRANITE,Aro Granite Industries Limited,0.0,0.0,0.0,0.0,0.0
ARROWGREEN,Arrow Greentech Limited,0.0,0.0,0.0,0.0,0.0
ARSHIYA,Arshiya Limited,0.0,0.0,0.0,0.0,0.0
ARSSBL,Anand Rathi Share and Stock Brokers Limited,0.0,0.0,0.0,0.0,0.0
ARTEMISMED,Artemis Medicare Services Limited,0.0,0.0,0.0,0.0,0.0
ARTNIRMAN,Art Nirman Limited,0.0,0.0,0.0,0.0,0.0
ARVEE,Arvee Laboratories (India) Limited,0.0,0.0,0.0,0.0,0.0
ARVIND,Arvind Limited,0.0,0.0,0.0,0.0,0.0
ARVINDFASN,Arvind Fashions Limited,0.0,0.0,0.0,0.0,0.0
ARVSMART,Arvind SmartSpaces Limited,0.0,0.0,0.0,0.0,0.0
ASAHIINDIA,Asahi India Glass Limited,0.0,0.0,0.0,0.0,0.0
ASAHISONG,Asahi Songwon Colors Limited,0.0,0.0,0.0,0.0,0.0
ASAL,Automotive Stampings and Assemblies Limited,0.0,0.0,0.0,0.0,0.0
ASALCBR,Associated Alcohols & Breweries Ltd.,0.0,0.0,0.0,0.0,0.0
ASHAPURMIN,Ashapura Minechem Limited,0.0,0.0,0.0,0.0,0.0
ASHIANA,Ashiana Housing Limited,0.0,0.0,0.0,0.0,0.0
ASHIKA,Ashika Credit Capital Limited,0.0,0.0,0.0,0.0,0.0
ASHIMASYN,Ashima Limited,0.0,0.0,0.0,0.0,0.0
ASHOKA,Ashoka Buildcon Limited,0.0,0.0,0.0,0.0,0.0
ASHOKAMET,Ashoka Metcast Limited,0.0,0.0,0.0,0.0,0.0
ASHOKLEY,Ashok Leyland Limited,0.0,0.0,0.0,0.0,0.0
ASIANENE,Asian Energy Services Limited,0.0,0.0,0.0,0.0,0.0
ASIANHOTNR,Asian Hotels (North) Limited,0.0,0.0,0.0,0.0,0.0
ASIANPAINT,Asian Paints Limited,0.0,0.0,0.0,0.0,0.0
ASIANTILES,Asian Granito India Limited,0.0,0.0,0.0,0.0,0.0
ASKAUTOLTD,ASK Automotive Limited,0.0,0.0,0.0,0.0,0.0
